artist_id,catalog_id,db_id,loss_thru,artwork_title,location,loc,date_lost,material,ek_inven_id,uri,art_form,envelope,work_status,db_title,date,copyright,inv_orig,env_part,thumb_url,museum_orig,artist,lat,lng
152,NA,113013,Beschlagnahme,Lüneburg VI,"Halle/S, Stiftung Moritzburg", Stiftung Moritzburg Halle/S,NA,Aquarell und Tusche,7401,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113013&viewType=detailView,Aquarell,NA,"Halle/S, Stiftung Moritzburg",Lüneburg,1924,"© VG Bild-Kunst, Bonn",IV 796,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarU9lxl1YnroepqlPqbqrNmy&sp=Simage%2Fjpeg,"Halle/S, Städtisches Museum für Kunst und Kunstgewerbe","Feininger, Lyonel",35.7761611938,-83.9837036133
152,NA,113024,Beschlagnahme,Yachtrennen,"München, Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne", Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne München,NA,Aquarell und Tusche,14496,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113024&viewType=detailView,Aquarell,NA,"München, Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne",Yachtrennen,1926,"© VG Bild-Kunst, Bonn",NA,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarUcv8Fh67U2G5qlPqbqrNmy&sp=Simage%2Fjpeg,"Kiel, Kunsthalle","Feininger, Lyonel",48.1390991211,11.5144996643
152,NA,113008,Beschlagnahme,Denstedt,"München, Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne", Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne München,NA,Aquarell und Tusche,6261,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113008&viewType=detailView,Aquarell,NA,"München, Bayerische Staatsgemäldesammlungen – Pinakothek der Moderne",Denstedt,1916,"© VG Bild-Kunst, Bonn",1770,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarXK4ql5mmnJvpqlPqbqrNmy&sp=Simage%2Fjpeg,"Mannheim, Städtische Kunsthalle","Feininger, Lyonel",48.1390991211,11.5144996643
152,NA,113130,Beschlagnahme,Schiffe am Felsstrand,"Berlin, Kupferstichkabinett", Kupferstichkabinett Berlin,NA,Holzschnitt,12539,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113130&viewType=detailView,Druckgraphik,NA,"Berlin, Kupferstichkabinett",Schiffe,1920,"© VG Bild-Kunst, Bonn",144-1931,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarWVLJ0tvF2fz5qlPqbqrNmy&sp=Simage%2Fjpeg,"Berlin, Kupferstichkabinett","Feininger, Lyonel",52.5079803467,13.3671503067
152,NA,113131,Beschlagnahme,Schiffe am Ufer,"Berlin, Kupferstichkabinett", Kupferstichkabinett Berlin,NA,Holzschnitt,12540,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113131&viewType=detailView,Druckgraphik,NA,"Berlin, Kupferstichkabinett",Schiffe,1920,"© VG Bild-Kunst, Bonn",145-1931,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarU%2BocoKIdNuTZqlPqbqrNmy&sp=Simage%2Fjpeg,"Berlin, Kupferstichkabinett","Feininger, Lyonel",52.5079803467,13.3671503067
152,NA,113132,Beschlagnahme,Gelmeroda,"Berlin, Kupferstichkabinett", Kupferstichkabinett Berlin,NA,Holzschnitt,12541,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113132&viewType=detailView,Druckgraphik,NA,"Berlin, Kupferstichkabinett",Häuser,1918,"© VG Bild-Kunst, Bonn",151-1931,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarX21GpT5LDDApqlPqbqrNmy&sp=Simage%2Fjpeg,"Berlin, Kupferstichkabinett","Feininger, Lyonel",52.5079803467,13.3671503067
152,NA,113133,Beschlagnahme,Windmühle,"Berlin, Kupferstichkabinett", Kupferstichkabinett Berlin,NA,Holzschnitt,12542,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113133&viewType=detailView,Druckgraphik,NA,"Berlin, Kupferstichkabinett",Windmühle,1919,"© VG Bild-Kunst, Bonn",71-1932,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarUHjiGzirh445qlPqbqrNmy&sp=Simage%2Fjpeg,"Berlin, Kupferstichkabinett","Feininger, Lyonel",52.5079803467,13.3671503067
152,NA,113134,Beschlagnahme,Die grüne Brücke,"Berlin, Kupferstichkabinett", Kupferstichkabinett Berlin,NA,Radierung,12543,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113134&viewType=detailView,Druckgraphik,NA,"Berlin, Kupferstichkabinett",Die grüne Brücke,1910/11,"© VG Bild-Kunst, Bonn",101-1929,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarXU4S4vIJYyopqlPqbqrNmy&sp=Simage%2Fjpeg,"Berlin, Kupferstichkabinett","Feininger, Lyonel",52.5079803467,13.3671503067
152,NA,113143,Beschlagnahme,"Vulkan, Blatt 2 der Mappe Zwölf Holzschnitte von Feininger","Berlin, Kupferstichkabinett", Kupferstichkabinett Berlin,NA,Holzschnitt,12552,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113143&viewType=detailView,Druckgraphik,NA,"Berlin, Kupferstichkabinett",Segelschiffe,1918,"© VG Bild-Kunst, Bonn",115-1929,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarU5pacHTXvfxpqlPqbqrNmy&sp=Simage%2Fjpeg,"Berlin, Kupferstichkabinett","Feininger, Lyonel",52.5079803467,13.3671503067
152,NA,113081,Beschlagnahme,Kirche in Vollersroda,"Berlin, Kupferstichkabinett", Kupferstichkabinett Berlin,NA,Holzschnitt,8236,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=ExternalInterface&module=collection&objectId=113081&viewType=detailView,Druckgraphik,NA,"Berlin, Kupferstichkabinett",Dorf,1919,"© VG Bild-Kunst, Bonn",23528,NA,http://emuseum.campus.fu-berlin.de/eMuseumPlus?service=DynamicAsset&sp=SU5mxm4Yx%2FVZijfWfAYnGsjIQqD6GXSFMez%2FYx5EhVSCZjU0bcvvsnPxkoLiFJnF9QzRY98OZwV3L%0D%0ATpwyJeR7NMPvp3RRP61q%2FZaOrpMIarU82mnak03oXZqlPqbqrNmy&sp=Simage%2Fjpeg,"Breslau, Schlesisches Museum der Bildenden Künste","Feininger, Lyonel",52.5079803467,13.3671503067
