id,artist,uri,ntnl,mvmnt
74,"Buchheister, Carl",http://dbpedia.org/resource/Carl_Buchheister,nA,nA
75,"Burchartz, Max",http://dbpedia.org/resource/Max_Burchartz,Germans,nA
76,"Burger-Mühlfeld, Fritz",http://dbpedia.org/resource/Fritz_Burger-M%C3%BChlfeld,nA,nA
77,"Burmann, Fritz",http://dbpedia.org/resource/Fritz_Burmann,nA,nA
78,"Busch-Alsen, Hans",http://dbpedia.org/resource/Hans_Busch-Alsen,nA,nA
79,"Busch, Walter",http://dbpedia.org/resource/Walter_Busch,nA,nA
80,"Camenisch, Paul",http://dbpedia.org/resource/Paul_Camenisch,nA,nA
81,"Campendonk, Heinrich",http://dbpedia.org/resource/Heinrich_Campendonk,nA,nA
82,"Čapek, Josef",http://dbpedia.org/resource/Josef_%C4%8Capek,nA,nA
83,"Carrà, Carlo",http://dbpedia.org/resource/Carlo_Carr%C3%A0,nA,Futurist
84,"Caspar-Filser, Maria",http://dbpedia.org/resource/Maria_Caspar-Filser,nA,nA
85,"Caspar, Karl",http://dbpedia.org/resource/Karl_Caspar,nA,nA
86,"Cassel, Pol",http://dbpedia.org/resource/Pol_Cassel,nA,nA
87,"Cézanne, Paul",http://dbpedia.org/resource/Paul_C%C3%A9zanne,nA,Post-Impressionism
88,"Chagall, Marc",http://dbpedia.org/resource/Marc_Chagall,List_of_Russian_artists,"Expressionism,Surrealism"
89,"Chirico, Giorgio de",http://dbpedia.org/resource/Giorgio_de_Chirico,Italians,"Metaphysical_art,Surrealism"
90,"Cissarz, Johann Vinzenz",http://dbpedia.org/resource/Johann_Vinzenz_Cissarz,nA,nA
91,"Coester, Otto",http://dbpedia.org/resource/Otto_Coester,nA,nA
93,"Cohn-Wiener, Ernst",http://dbpedia.org/resource/Ernst_Cohn-Wiener,nA,nA
94,"Corinth, Lovis",http://dbpedia.org/resource/Lovis_Corinth,nA,nA
95,"Crodel, Charles",http://dbpedia.org/resource/Charles_Crodel,Germany,nA
96,"Croissant, Eugen",http://dbpedia.org/resource/Eugen_Croissant,nA,nA
97,"Cross, Henri Edmond",http://dbpedia.org/resource/Henri_Edmond_Cross,nA,"Neo-impressionism,Pointillism"
98,"Cürten, Ferdinand Carl",http://dbpedia.org/resource/Ferdinand_Carl_C%C3%BCrten,nA,nA
99,"Czóbel, Béla",http://dbpedia.org/resource/B%C3%A9la_Cz%C3%B3bel,nA,nA
100,"Dahlen, Nora",http://dbpedia.org/resource/Nora_Dahlen,nA,nA
101,"Däubler, Theodor",http://dbpedia.org/resource/Theodor_D%C3%A4ubler,nA,nA
102,"Davringhausen, Heinrich Maria",http://dbpedia.org/resource/Heinrich_Maria_Davringhausen,nA,nA
103,"Delaunay, Robert",http://dbpedia.org/resource/Robert_Delaunay,nA,"Cubism,Expressionism,Orphism_(art)"
104,"Dell, Adolf",http://dbpedia.org/resource/Adolf_Dell,nA,nA
105,"Derain, André",http://dbpedia.org/resource/Andr%C3%A9_Derain,nA,Fauvism
106,"Deußer, August",http://dbpedia.org/resource/August_Deu%C3%9Fer,nA,nA
107,"Dexel, Walter",http://dbpedia.org/resource/Walter_Dexel,nA,nA
108,"Dienz, Herm",http://dbpedia.org/resource/Herm_Dienz,nA,nA
109,"Diesener, Hermann",http://dbpedia.org/resource/Hermann_Diesener,nA,nA
110,"Dietrich, Erich",http://dbpedia.org/resource/Erich_Dietrich,nA,nA
111,"Dinklage, Erna",http://dbpedia.org/resource/Erna_Dinklage,nA,nA
112,"Ditscher, Otto",http://dbpedia.org/resource/Otto_Ditscher,nA,nA
113,"Dix, Otto",http://dbpedia.org/resource/Otto_Dix,Germany,nA
114,"Döbel, Karl",http://dbpedia.org/resource/Karl_D%C3%B6bel,nA,nA
115,"Dobers, Paul",http://dbpedia.org/resource/Paul_Dobers,nA,nA
116,"Domke, Martin",http://dbpedia.org/resource/Martin_Domke,nA,nA
117,"Domscheit, Franz",http://dbpedia.org/resource/Franz_Domscheit,nA,nA
118,"Dornbach, Hans",http://dbpedia.org/resource/Hans_Dornbach,nA,nA
119,"Dressler, August Wilhelm",http://dbpedia.org/resource/August_Wilhelm_Dressler,nA,nA
120,"Drewes, Werner",http://dbpedia.org/resource/Werner_Drewes,nA,nA
121,"Drexel, Hans Christof",http://dbpedia.org/resource/Hans_Christof_Drexel,nA,nA
122,"Driesch, Johannes",http://dbpedia.org/resource/Johannes_Driesch,nA,nA
123,"Dülberg, Ewald",http://dbpedia.org/resource/Ewald_D%C3%BClberg,nA,nA
124,"Dungert, Max",http://dbpedia.org/resource/Max_Dungert,nA,nA
125,"Dunken, Max",http://dbpedia.org/resource/Max_Dunken,nA,nA
126,"Düssel, Eugen",http://dbpedia.org/resource/Eugen_D%C3%BCssel,nA,nA
127,"Eberhard, Heinrich",http://dbpedia.org/resource/Heinrich_Eberhard,nA,nA
128,"Eberz, Josef",http://dbpedia.org/resource/Josef_Eberz,nA,nA
129,"Ederer, Carl",http://dbpedia.org/resource/Carl_Ederer,nA,nA
130,"Edzard, Dietz",http://dbpedia.org/resource/Dietz_Edzard,nA,nA
131,"Ehlers, Karl",http://dbpedia.org/resource/Karl_Ehlers,nA,nA
132,"Ehmsen, Heinrich",http://dbpedia.org/resource/Heinrich_Ehmsen,nA,nA
133,"Einstein, Carl",http://dbpedia.org/resource/Carl_Einstein,nA,nA
134,"Elkan, Benno",http://dbpedia.org/resource/Benno_Elkan,nA,nA
135,"Engelmann, Annette",http://dbpedia.org/resource/Annette_Engelmann,nA,nA
136,"Engelmann, Richard",http://dbpedia.org/resource/Richard_Engelmann,nA,nA
137,"Enseling, Joseph",http://dbpedia.org/resource/Joseph_Enseling,nA,nA
138,"Ensor, James",http://dbpedia.org/resource/James_Ensor,Belgium,"Symbolism,Expressionism"
139,"Epper, Ignaz",http://dbpedia.org/resource/Ignaz_Epper,nA,nA
140,"Erbach, Alois",http://dbpedia.org/resource/Alois_Erbach,nA,nA
141,"Erbslöh, Adolf",http://dbpedia.org/resource/Adolf_Erbsl%C3%B6h,nA,nA
142,"Erdle, Artur",http://dbpedia.org/resource/Artur_Erdle,nA,nA
143,"Eriksdun, Friedrich Rudolf",http://dbpedia.org/resource/Friedrich_Rudolf_Eriksdun,nA,nA
144,"Ernst, Max",http://dbpedia.org/resource/Max_Ernst,nA,"Dada,Surrealism"
145,"Eulenstein, Karl",http://dbpedia.org/resource/Karl_Eulenstein,nA,nA
146,"Ewald, Reinhold",http://dbpedia.org/resource/Reinhold_Ewald,Germany,nA
147,"Faistauer, Anton",http://dbpedia.org/resource/Anton_Faistauer,nA,nA
148,"Fauconnier, Henri Le",http://dbpedia.org/resource/Henri_Le_Fauconnier,nA,nA
149,"Feibusch, Hans",http://dbpedia.org/resource/Hans_Feibusch,nA,nA
150,"Feigl, Friedrich",http://dbpedia.org/resource/Friedrich_Feigl,"Brazil,Austria",nA
151,"Feigler, Fritz",http://dbpedia.org/resource/Fritz_Feigler,nA,nA
