id,artist,uri
87,"Cézanne, Paul",http://dbpedia.org/resource/Paul_C%C3%A9zanne
88,"Chagall, Marc",http://dbpedia.org/resource/Marc_Chagall
89,"Chirico, Giorgio de",http://dbpedia.org/resource/Giorgio_de_Chirico
90,"Cissarz, Johann Vinzenz",http://dbpedia.org/resource/Johann_Vinzenz_Cissarz
91,"Coester, Otto",http://dbpedia.org/resource/Otto_Coester
92,!Cohn,nA
93,"Cohn-Wiener, Ernst",http://dbpedia.org/resource/Ernst_Cohn-Wiener
94,"Corinth, Lovis",http://dbpedia.org/resource/Lovis_Corinth
95,"Crodel, Charles",http://dbpedia.org/resource/Charles_Crodel
96,"Croissant, Eugen",http://dbpedia.org/resource/Eugen_Croissant
97,"Cross, Henri Edmond",http://dbpedia.org/resource/Henri_Edmond_Cross
98,"Cürten, Ferdinand Carl",http://dbpedia.org/resource/Ferdinand_Carl_C%C3%BCrten
99,"Czóbel, Béla",http://dbpedia.org/resource/B%C3%A9la_Cz%C3%B3bel
100,"Dahlen, Nora",http://dbpedia.org/resource/Nora_Dahlen
101,"Däubler, Theodor",http://dbpedia.org/resource/Theodor_D%C3%A4ubler
102,"Davringhausen, Heinrich Maria",http://dbpedia.org/resource/Heinrich_Maria_Davringhausen
103,"Delaunay, Robert",http://dbpedia.org/resource/Robert_Delaunay
104,"Dell, Adolf",http://dbpedia.org/resource/Adolf_Dell
105,"Derain, André",http://dbpedia.org/resource/Andr%C3%A9_Derain
106,"Deußer, August",http://dbpedia.org/resource/August_Deu%C3%9Fer
107,"Dexel, Walter",http://dbpedia.org/resource/Walter_Dexel
108,"Dienz, Herm",http://dbpedia.org/resource/Herm_Dienz
109,"Diesener, Hermann",http://dbpedia.org/resource/Hermann_Diesener
110,"Dietrich, Erich",http://dbpedia.org/resource/Erich_Dietrich
111,"Dinklage, Erna",http://dbpedia.org/resource/Erna_Dinklage
112,"Ditscher, Otto",http://dbpedia.org/resource/Otto_Ditscher
113,"Dix, Otto",http://dbpedia.org/resource/Otto_Dix
114,"Döbel, Karl",http://dbpedia.org/resource/Karl_D%C3%B6bel
115,"Dobers, Paul",http://dbpedia.org/resource/Paul_Dobers
116,"Domke, Martin",http://dbpedia.org/resource/Martin_Domke
117,"Domscheit, Franz",http://dbpedia.org/resource/Franz_Domscheit
118,"Dornbach, Hans",http://dbpedia.org/resource/Hans_Dornbach
119,"Dressler, August Wilhelm",http://dbpedia.org/resource/August_Wilhelm_Dressler
120,"Drewes, Werner",http://dbpedia.org/resource/Werner_Drewes
121,"Drexel, Hans Christof",http://dbpedia.org/resource/Hans_Christof_Drexel
122,"Driesch, Johannes",http://dbpedia.org/resource/Johannes_Driesch
123,"Dülberg, Ewald",http://dbpedia.org/resource/Ewald_D%C3%BClberg
124,"Dungert, Max",http://dbpedia.org/resource/Max_Dungert
125,"Dunken, Max",http://dbpedia.org/resource/Max_Dunken
126,"Düssel, Eugen",http://dbpedia.org/resource/Eugen_D%C3%BCssel
127,"Eberhard, Heinrich",http://dbpedia.org/resource/Heinrich_Eberhard
128,"Eberz, Josef",http://dbpedia.org/resource/Josef_Eberz
129,"Ederer, Carl",http://dbpedia.org/resource/Carl_Ederer
130,"Edzard, Dietz",http://dbpedia.org/resource/Dietz_Edzard
131,"Ehlers, Karl",http://dbpedia.org/resource/Karl_Ehlers
132,"Ehmsen, Heinrich",http://dbpedia.org/resource/Heinrich_Ehmsen
133,"Einstein, Carl",http://dbpedia.org/resource/Carl_Einstein
134,"Elkan, Benno",http://dbpedia.org/resource/Benno_Elkan
135,"Engelmann, Annette",http://dbpedia.org/resource/Annette_Engelmann
136,"Engelmann, Richard",http://dbpedia.org/resource/Richard_Engelmann
137,"Enseling, Joseph",http://dbpedia.org/resource/Joseph_Enseling
