id,subject
74,Modern_painters
74,1890_births
74,1964_deaths
75,1887_births
75,1961_deaths
75,German_photographers
76,nA
77,nA
78,nA
79,German_military_personnel_of_World_War_II
79,Luftwaffe_personnel
79,Recipients_of_the_Knight's_Cross
79,1919_births
79,1945_deaths
79,German_military_personnel_killed_in_World_War_II
79,Recipients_of_the_Iron_Cross
80,1893_births
80,1970_deaths
80,Swiss_painters
81,German_painters
81,People_from_Krefeld
81,Expressionism
81,Modern_painters
81,1889_births
81,1957_deaths
82,Czechoslovak_civilians_killed_in_World_War_II
82,Writers_who_died_in_Nazi_concentration_camps
82,Czech_painters
82,Czech_writers
82,Writers_who_illustrated_their_own_writing
82,Bergen-Belsen_concentration_camp_victims
82,1887_births
82,1945_deaths
82,Painters_who_died_in_Nazi_concentration_camps
82,People_from_Hronov
82,Recipients_of_the_Order_of_Tomáš_Garrigue_Masaryk
82,Cubist_artists
83,Anarchist_artists
83,Italian_anarchists
83,Italian_muralists
83,Art_writers
83,1881_births
83,1966_deaths
83,Brera_Academy_alumni
83,Italian_Futurist_painters
83,Italian_fascists
83,People_from_the_Province_of_Alessandria
84,nA
85,nA
86,nA
87,Aix-Marseille_University_alumni
87,French_Impressionist_painters
87,Post-impressionist_painters
87,People_from_Aix-en-Provence
87,1839_births
87,1906_deaths
87,French_Roman_Catholics
87,French_people_of_Italian_descent
87,Deaths_from_pneumonia
87,French_painters
87,Infectious_disease_deaths_in_France
87,Still_life_painters
88,Belarusian_painters
88,Erasmus_Prize_winners
88,Jewish_School_of_Paris
88,Russian_Jews
88,Russian_painters
88,School_of_Paris
88,Yiddish-language_poets
88,Levites
88,Marc_Chagall
88,Modern_painters
88,Neo-primitivism
88,Russian_stained_glass_artists_and_manufacturers
88,Soviet_Jews
88,1887_births
88,1985_deaths
88,Ballet_designers
88,People_from_Liozna_Raion
88,Russian_avant-garde
88,Wolf_Prize_in_Arts_laureates
88,Belarusian_Jews
88,French_Jews
88,French_painters
88,French_people_of_Belarusian-Jewish_descent
88,French_people_of_Russian-Jewish_descent
88,Jewish_artists
88,Jewish_painters
88,Russian_artists
88,Surrealist_artists
89,School_of_Paris
89,People_of_Sicilian_descent
89,1888_births
89,1978_deaths
89,Academy_of_Fine_Arts
89,_Munich_alumni
89,Ballet_designers
89,Italian_expatriates_in_Greece
89,Italian_painters
89,Giorgio_de_Chirico
89,People_from_Volos
89,Surrealist_artists
90,nA
91,nA
93,nA
94,German_painters
94,German_printmakers
94,People_from_the_Province_of_Prussia
94,People_from_Gvardeysk
94,German_Impressionist_painters
94,German_Expressionist_painters
94,1858_births
94,1925_deaths
94,Academy_of_Fine_Arts
94,_Munich_alumni
95,German_stained_glass_artists_and_manufacturers
95,University_of_Louisville_faculty
95,Modern_painters
95,1894_births
95,1974_deaths
95,University_of_Jena_alumni
95,German_artists
95,Pennsylvania_State_University_faculty
