id,artist,uri,ntnl,mvmnt,born,died,subj_terms
32,"Becker, Curth Georg",http://dbpedia.org/resource/Curth_Georg_Becker,nA,nA,nA,nA,nA
33,"Becker, Walter",http://dbpedia.org/resource/Walter_Becker,nA,nA,1950-02-20,nA,"American_record_producers, Stuyvesant_High_School_alumni, Steely_Dan_members, American_jazz_bass_guitarists, American_rock_bass_guitarists, People_from_Forest_Hills,_Queens, 1950_births, Living_people, American_jazz_guitarists, American_rock_guitarists, Bard_College_alumni, Grammy_Award-winning_artists"
34,"Beckmann, Max",http://dbpedia.org/resource/Max_Beckmann,Germany,nA,nA,nA,"Villa_Romana_prize_winners, German_expatriates_in_the_United_States, German_painters, German_printmakers, People_from_Leipzig, Expressionist_painters, 1884_births, 1950_deaths, People_who_emigrated_to_escape_Nazism, People_from_the_Kingdom_of_Saxony"
35,"Bednorz, Robert",http://dbpedia.org/resource/Robert_Bednorz,nA,nA,nA,nA,nA
36,"Beeh, René",http://dbpedia.org/resource/Ren%C3%A9_Beeh,nA,nA,nA,nA,nA
37,"Behrens, Peter",http://dbpedia.org/resource/Peter_Behrens,Germany,nA,1868-04-14,1940-02-27,"20th-century_architects, German_graphic_designers, People_from_Hamburg, German_industrial_designers, German_architects, 1868_births, 1940_deaths, Modernist_architects, German_typographers"
38,"Bell, Josef",http://dbpedia.org/resource/Josef_Bell,nA,nA,nA,nA,nA
39,"Belling, Rudolf",http://dbpedia.org/resource/Rudolf_Belling,nA,nA,nA,nA,"Istanbul_Technical_University_faculty, Mimar_Sinan_University_of_Fine_Arts_faculty, German_sculptors, 1886_births, 1972_deaths, Knight_Commanders_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany, Modern_sculptors"
40,"Benn, Gottfried",http://dbpedia.org/resource/Gottfried_Benn,nA,nA,1886-05-02,1956-07-07,"People_from_Putlitz, German_Expressionist_writers, German_novelists, 1886_births, 1956_deaths, Georg_Büchner_Prize_winners, Officers_Crosses_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany, German_writers, People_from_the_Province_of_Brandenburg"
41,"Berger, Max",http://dbpedia.org/resource/Max_Berger,nA,nA,nA,nA,nA
42,"Berger, O.",http://dbpedia.org/resource/O._Berger,nA,nA,nA,nA,nA
