id,artist
1,"Abbo, Jussuf"
2,"Achmann, Josef"
3,"Adler, Jankel"
4,"Albers, Josef"
5,"Altherr, Heinrich"
6,"Angrand, Charles"
7,Anhalzer
8,"Annot-Jacobi, Maria"
9,"Archipenko, Alexander"
10,"Arnold, B"
11,"Arnold, Wulf"
12,"Arntz, Gerd"
13,"Aschheim, Isidor"
14,"Auberjonois, René"
15,"Aufseeser, Ernst"
16,"Babberger, August"
17,"Baer, Oswald"
18,"Balwé, Arnold"
19,"Banco, Alma del"
20,"Barlach, Ernst"
21,"Bartels, Rudolf"
22,"Barth, Carl"
23,"Barz, Mathias"
24,"Bauer, Rudolf"
25,"Bauknecht, Philipp"
26,"Baum, Otto"
27,"Baumann, Fritz"
28,"Baumeister, Willi"
29,"Bäumer, Eduard"
30,"Baur-Nütten, Gisela"
31,"Bayer, Herbert"
32,"Becker, Curth Georg"
33,"Becker, Walter"
34,"Beckmann, Max"
35,"Bednorz, Robert"
36,"Beeh, René"
37,"Behrens, Peter"
38,"Bell, Josef"
39,"Belling, Rudolf"
40,"Benn, Gottfried"
41,"Berger, Max"
42,"Berger, O."
43,"Berlit, Rüdiger"
44,"Best, Georg Jakob"
45,"Biermann, Georg"
46,"Biesemann, Paul"
47,"Bindel, Paul"
48,"Bing, Henry"
49,"Bischoff, Constanze"
50,"Bissier, Julius"
51,"Bizer, Emil"
52,"Blanchard, Maria"
53,"Bloch, Albert"
54,"Blumenthal, Hermann"
55,"Boccioni, Umberto"
56,"Bock, Ludwig"
57,"Böckstiegel, Peter August"
58,"Bollschweiler, Jack"
59,"Bonk, Artur"
60,"Bösken, Lorenz"
61,"Bötticher, Walther"
62,"Braque, Georges"
63,"Brasch, Hans"
64,"Braun, Eduard"
65,"Breker, Arno"
66,"Brendgen, Elmar"
67,"Brieger, L."
68,"Brockhusen, Theo von"
69,"Brühlmann, Hans"
70,"Brun-Stiller, Benedikt"
71,"Brün, Theo"
72,"Brüne, Heinrich"
73,"Brust, Karl Friedrich"
74,"Buchheister, Carl"
75,"Burchartz, Max"
76,"Burger-Mühlfeld, Fritz"
77,"Burmann, Fritz"
78,"Busch-Alsen, Hans"
79,"Busch, Walter"
80,"Camenisch, Paul"
81,"Campendonk, Heinrich"
82,"Čapek, Josef"
83,"Carrà, Carlo"
84,"Caspar-Filser, Maria"
85,"Caspar, Karl"
86,"Cassel, Pol"
87,"Cézanne, Paul"
88,"Chagall, Marc"
89,"Chirico, Giorgio de"
90,"Cissarz, Johann Vinzenz"
91,"Coester, Otto"
92,Cohn
93,"Cohn-Wiener, Ernst"
94,"Corinth, Lovis"
95,"Crodel, Charles"
96,"Croissant, Eugen"
97,"Cross, Henri Edmond"
98,"Cürten, Ferdinand Carl"
99,"Czóbel, Béla"
100,"Dahlen, Nora"
101,"Däubler, Theodor"
102,"Davringhausen, Heinrich Maria"
103,"Delaunay, Robert"
104,"Dell, Adolf"
105,"Derain, André"
106,"Deußer, August"
107,"Dexel, Walter"
108,"Dienz, Herm"
109,"Diesener, Hermann"
110,"Dietrich, Erich"
111,"Dinklage, Erna"
112,"Ditscher, Otto"
113,"Dix, Otto"
114,"Döbel, Karl"
115,"Dobers, Paul"
116,"Domke, Martin"
117,"Domscheit, Franz"
